word,score
horrible,3.6796008
disgusting,3.4936825
moron,3.4696771
bastard,3.3992381
stupid,3.3238818
bitch,3.2622911
scumbag,3.1949177
stupid,3.1918846
horrible,3.1827809
ass,3.0799801
idiot,3.0301171
bastard,2.9925045
slut,2.9309319
vile,2.8624451
redneck,2.8006986
filth,2.7742084
cretin,2.7070032
sadist,2.6944803
crap,2.6591225
sociopath,2.6348441
arent,2.5915894
stink,2.5817116
revolting,2.5617979
rotten,2.5617882
bigot,2.5544108
bitch,2.5479306
brat,2.5388335
scum,2.5280096
crappy,2.5225451
stinky,2.5190451
rubbish,2.4968679
fuck,2.4959138
slut,2.4950545
liar,2.4938713
filthy,2.4713835
nerd,2.4511875
hypocrite,2.4136389
nutcase,2.401145
whore,2.3926588
stinking,2.3922521
lout,2.3866137
stink,2.386318
wanker,2.3574416
crap,2.3467714
rubbish,2.3389343
dolt,2.3368959
hideous,2.3248801
shit,2.3208947
lunatic,2.3147081
pest,2.3117798
snot,2.3059359
egomaniac,2.3009798
perverted,2.2945354
crap,2.2912594
twat,2.2811641
fart,2.2765787
cunt,2.2763675
bugger,2.2715692
dumbass,2.2690002
commie,2.2671629
wretch,2.2579331
psychopath,2.2549929
despicable,2.2427071
fuck,2.2390389
piss,2.23226
pathetic,2.2298695
vermin,2.2237203
buffoon,2.2117196
lowlife,2.2101649
schmuck,2.2044661
hateful,2.203023
fag,2.1958758
slimy,2.1945775
sadistic,2.1791394
sux,2.1702603
horrid,2.1578153
crackpot,2.1482269
lousy,2.1455968
weird,2.1407319
chav,2.1260895
rubbish,2.1084307
scruffy,2.1043671
sexist,2.1041722
revolting,2.0877126
fucking,2.0841984
heartless,2.0813087
prank,2.0789004
twerp,2.0703899
loony,2.0660404
inbred,2.0562485
phony,2.0558828
faggot,2.0539746
git,2.0528487
nitwit,2.0520718
bugger,2.051638
dimwit,2.0405327
prank,2.0263975
shit,2.0257835
weird,2.0213697
tyrant,2.0124076
stinking,2.0073536
wack,2.007067
pussy,1.9963551
arse,1.9962293
geezer,1.9934449
nigger,1.9878153
inhuman,1.9785859
malicious,1.9696563
badass,1.9684681
selfish,1.9671554
moronic,1.9668102
fart,1.9660311
snide,1.9587149
putrid,1.9584194
lewd,1.9572129
weird,1.9487232
hater,1.9380459
arrogant,1.9367388
snot,1.9340294
hoe,1.9338633
damn,1.9290181
scum,1.9286376
retard,1.9264918
sickening,1.915752
jerk,1.9156719
piss,1.9022543
smelly,1.8931803
imbecile,1.8917299
underhanded,1.8898532
